iterations,best_pipeline,test_scores
0,"GradientBoostingRegressor(input_matrix, GradientBoostingRegressor__alpha=0.99, GradientBoostingRegressor__learning_rate=1.0, GradientBoostingRegressor__loss=huber, GradientBoostingRegressor__max_depth=6, GradientBoostingRegressor__max_features=0.6000000000000001, GradientBoostingRegressor__min_samples_leaf=9, GradientBoostingRegressor__min_samples_split=13, GradientBoostingRegressor__n_estimators=100, GradientBoostingRegressor__subsample=0.4)","{'RMSE': 588.4318894761301, 'MAE': 427.7788508605603, 'MAPE': 0.5924775633793973}"
1,"ExtraTreesRegressor(ZeroCount(input_matrix), ExtraTreesRegressor__bootstrap=True, ExtraTreesRegressor__max_features=0.3, ExtraTreesRegressor__min_samples_leaf=6, ExtraTreesRegressor__min_samples_split=5, ExtraTreesRegressor__n_estimators=100)","{'RMSE': 545.0492689734652, 'MAE': 452.76869365272904, 'MAPE': 0.7161198505659121}"
